,predicted_score,original_score,sentence1,sentence2
37,4.955410659313202,5.0,A man plays the piano.,A man is playing a piano.
38,4.697405844926834,4.2,A man is eating food.,A man is eating something.
39,3.3067890256643295,1.4,A man is playing a basketball.,A man is playing a piano.
40,4.553239643573761,3.6,A toddler walks down a hallway.,A little girl is walking down a hallway.
41,4.41076934337616,2.8,A plane is landing.,A animated airplane is landing.
42,3.396642580628395,1.6,A panda is climbing.,A man is climbing a rope.
43,4.524887949228287,3.0,Kids are dancing on stage.,Some people are dancing on stage.
44,3.5074009746313095,1.4,A man plays a guitar.,A man plays the piano.
45,2.9311035573482513,0.25,A woman is slicing a meat.,A woman is singing on stage.
46,2.137254551053047,0.25,A woman is taking a picture.,A man is playing a guitar.
47,2.503639634232968,0.0,The man is riding a horse.,A woman is using a hoe.
48,4.2015185952186584,4.0,A man is drilling a hole in a board.,Someone is drilling a hole in a piece of wood.
49,4.6961356699466705,4.5,A man is fitting silencer on a pistol.,A man is adding a silencer to a gun.
50,3.0873949825763702,0.5,Two little girls are talking on the phone.,A little girl is walking down the street.
51,4.5431725680828094,3.8,Someone is stirring chili in a kettle.,Someone is stirring a pot of chili with a spoon.
52,4.715815484523773,4.8,The woman is cracking eggs into a bowl.,The lady broke raw eggs into a bowl.
53,4.942255318164825,5.0,A woman puts flour on a piece of meat.,A woman is putting flour onto some meat.
54,2.7931931242346764,0.25,A man is talking on a phone.,A man is singing to a woman.
55,3.2158128172159195,1.2,A man is playing an electronic keyboard.,A man is playing a flute.
56,2.866176590323448,0.6,A man is playing a guitar.,A man is eating a banana.
57,2.7719201892614365,0.8,A man is jumping into water.,A man is cutting paper.
58,4.0866126120090485,3.8,A man is playing a guitar.,A guy is playing an instrument.
59,2.240813598036766,0.0,A young man is playing the piano.,A woman is peeling a prawn.
60,4.189947843551636,3.5,A woman is mixing ingrediants.,A woman is mixing food in a bowl.
61,4.58051010966301,4.5,Someone is shredding cabbage leaves with a knife.,Someone is chopping some cabbage leaves.
62,3.810635209083557,2.8,A slow lori walks around.,A animal is walking around.
63,4.6866461634635925,3.8,A little boy is vacuuming the floor.,A boy is vacuuming.
64,4.373523443937302,3.8,A woman is applying eye liner to her eyelid using an eye pencil.,A woman is applying cosmetics to her eyelid.
65,2.429107283242047,0.0,A man is making a bed.,A woman is playing a guitar.
66,4.715222716331482,4.0,A man plays a keyboard.,A person is playing the keyboard.
67,4.5114171504974365,4.25,A rabbit is playing with a toy rabbit.,A bunny is playing with a stuffed bunny.
68,4.012136608362198,2.812,A plane rides on a road.,An airplane moves along a runway.
69,4.650900661945343,4.25,A man shoots a man.,A man with a pistol shoots another man.
70,4.348179399967194,3.0,A man plays the guitar.,The man sang and played his guitar.
71,3.8202084600925446,1.0,A guy is playing hackysack,A man is playing a key-board.
72,4.054853022098541,3.75,One man is breaking cement on another man's chest.,A man breaks cinder blocks on another man.
73,2.5261644273996353,0.0,A man is talking with other women on the beach.,A man is walking down the street.
74,2.6373317558318377,0.4,The woman is dicing onions.,A woman is dancing in railway station.
75,4.756208509206772,4.0,A chef is preparing some food.,A chef prepared a meal.
76,4.220361113548279,2.8,The man talked to a girl over the internet camera.,A teenager talks to a girl over a webcam.
77,4.0785521268844604,3.75,A turtle walks over the ground.,A large turtle crawls in the grass.
78,3.0296355858445168,1.154,The lady cracked an egg for the mixer.,The lady sliced up the meat.
79,4.225714355707169,2.75,Five kittens are eating out of five dishes.,Kittens are eating food on trays.
80,4.06474232673645,2.8,A woman is slicing some tuna.,A woman is cutting raw fish.
81,2.3658943735063076,0.0,A man playing the guitar.,A woman is painting her lips.
82,2.5843565352261066,0.0,A man is playing a flute.,A dog is barking at a fly.
83,4.170768558979034,3.4,A baby rhino is walking around his pen with his mother.,A baby rhino is following an adult rhino.
84,4.930151104927063,5.0,The man used a sword to slice a plastic bottle.,A man sliced a plastic bottle with a sword.
85,2.991379424929619,0.8,A man is cleaning a fish on a kitchen counter.,A man is playing a flute.
86,3.835549056529999,2.25,A person is chopping coriander leaves.,A woman is slicing up some green leaves.
87,4.484931379556656,2.75,A man is pressing microwave buttons.,A man turns on the microwave.
88,4.454181343317032,4.5,A girl is riding a horse.,The girl trotted the horse.
89,4.121611714363098,2.6,Batman and Robin fly a helicopter over water.,A helicopter flies over water.
90,4.276479929685593,3.8,A woman pours oil into a skillet from a plastic bottle while she is talking.,An older woman is pouring oil into a skillet on the stove.
91,3.6619820445775986,2.8,A woman is cutting some herbs.,A woman is chopping cilantro.
92,3.388051763176918,1.6,The lady put the skewered shimp in the hot water.,The lady fried the breaded meat in hot oil.
93,2.4652568786405027,0.0,A woman is riding on a horse.,A man is shooting off guns.
94,3.0113698914647102,1.333,The boy is playing the piano.,A band is playing on stage.
95,4.019688665866852,2.6,The cook is kneading the flour.,A woman is kneading tortilla dough.
96,2.8892219439148903,0.6,A woman is riding a horse along a perimeter.,A dog is riding a skateboard.
97,2.901984751224518,0.0,A woman is putting her baby in a waste bin.,The woman is poking holes in the potato.
98,2.36091629602015,0.0,A cat is pouncing on a trampoline.,A man is slicing a tomato.
99,4.1346704959869385,3.0,A man and woman are eating at a table.,A couple are eating a meal and talking.
100,2.3328123055398464,0.0,A woman is riding on a horse.,A man is turning over tables in anger.
101,2.881910391151905,0.2,A man is screwing wood to a wall.,A man is giving a woman a massage.
102,4.031551480293274,3.2,A girl is playing a flute.,A girl plays a wind instrument.
103,3.597371429204941,2.0,A small baby is playing a guitar.,"A boy sits on a bed, sings and plays a guitar."
104,2.364436574280262,0.0,A woman is chopping onion.,A man is doing a card trick.
105,4.206184893846512,3.0,A man and a woman walk through the woods.,The man and woman are walking.
106,4.352014362812042,3.091,A child is playing a computer game.,A boy is playing a game on a laptop.
107,4.307287931442261,2.75,Men are jumping into water from a bridge.,Men jump in a river.
108,2.996649853885174,1.2,A woman is peeling some fish.,A woman is pouring a yellow mixture on a frying pan.
109,3.4875038266181946,0.5,People are playing baseball.,The cricket player hit the ball.
110,3.0579976737499237,0.25,A person is boiling soup.,A woman is placing eggs into a pan.
111,2.447507558390498,0.0,A woman is dancing.,A man breaks a stick.
112,2.4587887059897184,0.0,A ballet dancer is performing on stage.,The beaver is being petted.
113,2.674076836556196,0.5,A man shoots a basket.,A man is playing a guitar.
114,2.5728034786880016,0.0,The elephants are bathing.,Two women are singing.
115,2.7306797727942467,0.6,The man cut up an onion.,A man is dancing.
116,3.678307682275772,4.0,A woman puts cosmetics on her eyelid.,The woman is pencilling on eye shadow.
117,3.858094811439514,3.4,A woman and man are riding in a car.,A woman driving a car is talking to the man seated beside her.
118,2.43941362015903,0.0,A girl is dancing in a cage.,A onion is being chopped.
119,2.453792793676257,0.0,A cat is on a robot.,A man is eating bread.
120,3.945055902004242,1.0,The lady stirred up raw eggs in the bowl.,A woman is pouring eyes into a bowl.
121,2.458710838109255,0.0,A cow is eating grass.,A dog is pulling a girl down a hill.
122,3.610888421535492,2.4,The man stirred the sauce for the chicken.,The man is stirring oil.
123,2.838909439742565,0.4,A man jumping rope,A man is talking.
124,3.2979844510555267,1.8,A woman is peeling an orange.,A woman cuts off a small piece of lemon rind.
125,3.9541706442832947,2.5,Someone is beating an egg.,A woman stirs eggs in a bowl.
126,2.192513979971409,0.083,A man is cutting a potato.,A woman plays an electric guitar.
127,2.2263972088694572,0.0,A man is buttering a piece of bread.,A slow loris hanging on a cord.
128,3.409251570701599,1.0,A woman cuts up some vegetables.,A woman is placing skewered food onto a cooker.
129,4.211430102586746,4.5,The lady cut the tail and body of a shrimp.,A woman is cleaning a shrimp.
130,2.0273444801568985,0.0,A man plays an acoustic guitar.,A woman and dog are walking together.
131,4.392258524894714,3.6,A person is peeling shrimp.,A person is preparing shrimp.
132,4.779849946498871,5.0,A woman is cutting broccoli.,A woman is slicing broccoli.
133,4.974177181720734,5.0,A small dog laying on the bed.,A small dog is laying on a bed.
134,4.98462051153183,5.0,The man is slicing a potato.,A man is slicing potato.
135,4.98462051153183,5.0,The man is slicing a potato.,A man is slicing potato.
136,4.850694537162781,3.8,A person is peeling shrimp.,A man is peeling shrimp.
137,4.560854434967041,5.0,A woman is putting on sun glasses.,A woman puts on sunglasses.
138,3.8294950127601624,2.5,A woman is slicing a potato.,A woman is slicing carrot.
139,4.736256450414658,3.824,Women are running.,Two women are running.
140,3.0759018659591675,1.6,A man is playing a harp.,A woman is playing a guitar.
141,4.915498495101929,5.0,A man dives into a pool.,A man dives into a swimming pool.
142,4.967587888240814,5.0,The man is smashing garlic.,A man is smashing some garlic.
143,3.7918341159820557,2.375,A man is cutting up a potato.,A man is cutting up carrots.
144,4.885252416133881,5.0,A man is slicing an onion.,A man slices an onion.
145,3.0738020688295364,1.25,A man is dancing.,A man is singing.
146,2.790002543479204,1.25,A man is running.,A man is singing.
147,3.611433655023575,3.0,The man is hiking in the woods.,A man is tracking in the wood.
148,3.431435525417328,2.167,A man is playing a flute.,A man is playing guitar.
149,2.9115771502256393,1.4,A man is riding a bike.,A woman is riding a horse.
150,4.5591385662555695,4.0,A woman is playing the guitar.,A person is playing a guitar.
151,4.180952310562134,3.6,A man is eating a pizza.,A man is eating a food.
152,4.945571571588516,4.857,A man is playing guitar.,A man plays a guitar.
153,3.18913534283638,0.4,The man is buttering the bread.,The man is stirring the rice.
154,2.596834786236286,0.2,A woman is hitting a man.,A woman is taking a bath.
155,3.776353597640991,1.3,Three men are dancing.,Women are dancing.
156,2.790364921092987,1.2,A man is speaking.,A man is dancing.
157,2.790365107357502,1.2,A man is dancing.,A man is speaking.
158,4.405354261398315,4.4,A person is combing a cat hair.,A person is brushing a cat.
159,3.330719470977783,1.8,A man is playing the drums.,A man is playing guitar.
160,3.344186618924141,1.4,A man is peeling a banana.,A woman is peeling a potato.
161,2.8530532866716385,0.4,A boy is riding a horse.,A monkey is riding a bus.
162,4.770998954772949,4.4,The puppy tried to get out of the tub.,A puppy is trying to get out of a bathtub.
163,4.21577587723732,3.25,A woman is peeling an onion.,The woman is slicing green onions.
164,2.876459062099457,0.778,A person is mixing a pot of rice.,A person is peeling a potato.
165,3.937496989965439,2.25,A man is playing a guitar.,The girl is playing the guitar.
166,4.273532330989838,2.75,A lion cub tries to climb a fence.,A lion tries to climb over a wall.
167,3.9209990203380585,2.0,A man is talking on a cell phone.,A guy is talking into a microphone.
168,3.1015431880950928,0.833,A man is playing a guitar.,A man is cleaning a cd.
169,4.571222513914108,3.75,Someone is pouring chicken broth into a pot.,The man is pouring broth into the pot.
170,4.055552184581757,1.8,A woman is chopping an onion.,A woman is chopping garlic with a knife.
171,4.739368259906769,4.333,The man is shaking hands with other men.,A man is shaking another mans hand.
172,4.4607846438884735,4.214,A target is being hit with gun fire.,The target was being shot with bullets.
173,2.4954014271497726,0.0,A woman is applying makeup.,A man is playing a guitar.
174,4.2828792333602905,3.4,A woman is slicing a big pepper.,A person is cutting a green pepper.
175,4.593446850776672,4.2,A man puts some cheese on a pizza.,A man is sprinkling shredded cheese on a pizza.
176,3.2511593401432037,0.8,A man is staring at a leaf.,A man is slicing a vegetable.
177,4.239464104175568,4.2,A person is picking a komodo dragon and putting it in a box.,A person is placing a baby komodo dragon into a container.
178,3.3851446956396103,2.75,A person drops a camera down an escelator.,A man tosses a bag down an escalator.
179,3.3716411143541336,2.2,The man is playing the keyboards.,A man is playing guitar.
180,2.6700162142515182,1.2,A woman is applying eye shadow.,A woman is washing a bowl.
181,2.849309965968132,1.0,A woman is playing the flute.,A man is playing a keyboard.
182,3.2761263102293015,1.533,A man is riding on a horse.,A woman is riding an elephant.
183,3.029557019472122,0.2,A man is playing flute.,A man is dancing.
184,4.353917092084885,3.0,A tiger is walking around his cage.,A tiger walks around aimlessly.
185,4.526093900203705,3.8,A person pours cooking oil into a pot.,A person is pouring olive oil into a pot on the stove.
186,2.5887354370206594,0.75,A woman is cutting potato.,A woman is riding a horse.
187,4.700817316770554,3.0,A parrot is talking.,A parrot is talking into a microphone.
188,3.013884946703911,0.4,A man is singing into a microphone.,A man is dancing in the rain.
189,4.030228704214096,3.4,A woman is exercising.,A woman lifts weights.
190,4.579256176948547,3.8,A child runs into and out of the ocean waves.,A young boy is running toward and from the ocean waves.
191,3.457346260547638,1.4,A man is playing the piano.,A man is playing a wooden flute.
192,4.243590980768204,3.4,A guy is riding a horse.,A man is riding a horse in the desert.
193,4.463135898113251,3.2,A dog is stealing food from a refrigerator.,The dog took something out of the refrigerator.
194,3.7667207419872284,2.333,A person uses a blowtorch on two cameras.,A person is burning cameras.
195,3.099597804248333,0.8,A man is putting a knife in a vice.,A man is getting into a car in a garage.
196,2.325411606580019,0.0,A woman is cooking meat.,A man is speaking.
197,4.304782003164291,3.0,A puppy is trying to come out from the sink.,The puppy tried to get out of the tub.
198,4.75155234336853,3.75,A person is folding a square paper piece.,A person folds a piece of paper.
199,2.271762229502201,0.0,The boy is playing the piano.,The woman is pouring oil into the pan.
200,2.2885945439338684,0.0,A man is cutting a potato.,A woman is climbing a rock wall.
201,2.573067592456937,0.0,A woman is feeding a baby.,A man is adding water to pan.
202,2.3084361292421818,0.5,A man is playing a guitar.,A woman is riding a horse.
203,3.2520439475774765,0.5,A woman is mixing eggs.,The woman is eating.
204,2.7293405681848526,0.4,A man is riding on a boat.,A man is tying in the machine.
205,3.0456603318452835,0.75,A man is serving cake.,A man seasoning quail.
206,3.146470785140991,2.5,Someone is greating a carrot.,A woman is grating an orange food.
207,3.7232162058353424,1.8,A man is standing on a roof top playing a violin.,A man is on a roof dancing.
208,4.477329254150391,2.5,A monkey is karate kicking a person.,A monkey pratices martial arts.
209,2.533002938143909,0.5,A man shappens a knife.,A man carries a women.
210,2.94715516269207,0.4,A woman is brushing her feet.,A woman is chopping an onion.
211,3.154252767562866,1.2,A woman is removing skin from some meat.,A woman is slicing a tomato.
212,3.8746649026870728,2.75,A man is stirring ingredients in a bowl.,A man is beating two eggs in a bowl with a fork.
213,2.5045276526361704,0.4,A woman is relaxing in a bath tub.,A woman is stabbing a potato with a fork.
214,2.697570249438286,0.6,A woman is adding oil on fishes.,The woman is cutting potatoes.
215,2.96465702354908,0.8,A woman is writing something.,A woman is chopping green onions.
216,3.5939963907003403,3.0,A baby eats his food.,A baby is being fed peas.
217,2.572886380366981,0.4,A man is slicing a carrot by a machine.,A man is standing in the rain.
218,3.838161826133728,3.2,A man is playing a guitar and singing on a stage.,A man is playing the electric guitar.
219,2.7737018279731274,1.25,A boy is playing a piano.,A man is singing and playing a guitar.
220,4.688060879707336,5.0,The person is starting a fire.,A person makes fire.
221,2.7067390456795692,0.2,A woman is riding a horse on the beach.,A woman is washing a bowl.
222,3.7636037170886993,3.0,A person is chopping an herb.,A man is finely chopping a green substance.
223,3.4514644742012024,1.4,A woman is collecting tap water in a mug.,A boy is filling a pitcher with water.
224,4.451334923505783,3.8,A person is whisking eggs in a bowl.,A woman is beating two eggs in a bowl using a wire whisk.
225,3.964853733778,2.75,The dog could not figure out how to get a stick out the doggy door.,A dog is trying to get through his dog door.
226,2.212420478463173,0.0,A woman is mixing eggs in the bowl.,A man is doing push ups.
227,4.37564805150032,2.8,The lady made some slices on the shrimp.,A chef is slicing a shrimp.
228,2.716916333884001,0.0,Someone is mixing a liquid.,A man is playing a guitar.
229,2.414724174886942,0.0,A woman is slicing big pepper.,A man is playing an instrument.
230,3.8179978728294373,2.6,The animal with the big eyes is eating.,A slow loris is eating.
231,2.9392513632774353,0.1,A baby is crawling happily.,A cat is walking on hardwood floor.
232,2.5633111922070384,0.0,A tiger club is playing with a ball.,A person is chopping shrimp with a knife.
233,3.8835370540618896,2.0,A woman is slicing fruit.,Two women are slicing some lemons.
234,4.473680704832077,3.75,The flag was moving in the air.,A flag is waving.
235,4.309047609567642,3.1,The baby laughed in his car seat.,A baby is laughing.
236,3.7693923711776733,2.692,A dog knocks a boy into the water twice.,A dog pushes a toddler into a rain puddle.
237,4.482077956199646,4.429,The bird is taking a bath under the faucet.,A bird is bathing in a sink.
238,4.7367265820503235,5.0,A man plays the guitar and sings.,A man is singing and playing a guitar.
239,2.6124692521989346,0.0,Women are holding each other and dancing together.,Two men are playing table tennis.
240,3.085276037454605,0.8,The man is trying to feed the snake with a mouse.,A man is working on his laptop.
241,3.985203206539154,1.333,A tiger is playing with his trainer.,A tiger attacks a man.
242,2.302667424082756,0.0,A cat is playing with a watermelon on a floor.,A man is pouring oil into a pan.
243,3.4650393575429916,0.6,A cat retrieves an object out of a dish of water.,The cat tried to eat the corn on the cob.
244,2.6332254242151976,0.0,A chef is slicing carrot.,A person is drawing a picture.
245,2.4612341821193695,0.0,A woman is adding some mushrooms and liquid to a pot.,A young man is playing the guitar.
246,2.3060817271471024,0.0,A man is passionately playing a guitar in front of an audience.,A woman is peeling a potato.
247,4.144642949104309,3.4,Someone drew on Washington's face on the dollar.,A person draws on a dollar bill.
248,4.399164617061615,2.2,The girl is slicing an onion.,A woman is chopping an onion into small pieces.
249,2.562824636697769,0.0,The man is aiming a gun.,A boy is playing on a toy phone.
250,4.292846620082855,3.6,A cat standing on tree branches.,A black and white cat is high up on tree branches.
251,2.6066359877586365,0.0,The lamb is looking at the camera.,A small bird standing on a log at the waters edge.
252,3.3444811403751373,1.4,A bull standing in the field.,A brown horse stands in a lush green field.
253,3.88214111328125,2.2,The black and white cows pause in front of the gate.,A black cow and a brown cow stands in a plain in front of an uprooted tree.
254,4.3851302564144135,3.8,A group of four people in a dinner having cake.,Four people eating dessert around a table.
255,3.8881123065948486,2.6,A group of people eat at a table outside.,A group of elderly people pose around a dining table.
256,2.640100587159395,0.4,Older man wearing beret with mountains in background.,A sheep in the morning mist with trees in the background.
257,4.501534402370453,4.0,The cows feed in the trough.,The brown and white cows are eating in the trough.
258,4.498368352651596,2.25,A small red and gray bird perched amongst the bare branches of a tree.,A red and brown bird is perched on branches.
259,4.128126502037048,3.2,A black and wood colored dining room set in a small apartment.,Black and brown table in living room setting.
260,2.9555949568748474,0.0,A bag of cotton in front of a couch.,Calico cat sitting on step in front of a door.
261,2.915036492049694,0.4,Two horses standing in a field with trees in the background.,A black and white bird on a body of water with grass in the background.
262,4.550405889749527,3.8,Red double decker bus driving down a street.,A red two story bus driving along the street.
263,3.427261859178543,0.8,The lamb is looking at the camera.,A cat looking at the camera.
264,4.622544944286346,4.2,A red double decker bus on a crowded street.,A double decker bus on a city street.
265,4.4370236992836,3.6,A jockey riding a horse in a pen.,A jockey rides a horse at a gallop.
266,3.941677212715149,2.0,The udders of a dairy cow that is standing in a pasture near a large building.,The black and brown cow is standing on the green grass.
267,4.441321790218353,4.2,A woman posing by a pillar with a U2 sign.,"a woman is standing by a pillar where ""u2"" is written."
268,4.1304150223731995,3.4,One Asian and one occasion woman in glasses smiling with their thumbs up.,Two women are posing for the camera and giving the thumbs up sign.
269,4.546972215175629,3.0,A black train moves down the tracks.,A mostly black train on a track.
270,4.317804723978043,3.4,The brown dog is resting his head on a white pillow.,A tan dog is lying on a couch and has its head on a white pillow.
271,3.698314279317856,3.6,The black and brown cow is looking at the camera.,The black and white bull is looking at the camera.
272,4.643140137195587,3.0,A smiling woman holding a small baby.,Two smiling women holding a baby.
273,4.2414391040802,2.4,Two airplanes in the sky.,A plane in the sky.
274,3.6076620221138,2.0,A coal train traveling down the tracks.,An old train sits idle on the tracks.
275,4.4288526475429535,4.0,A cat looking at the camera.,"A grey, black, and white cat looking at the camera."
276,2.5873815827071667,0.0,World news headlines displayed on a large screen.,A man dressed for a race relaxes.
277,4.561159312725067,4.0,Two women posing with a baby.,Two smiling women holding a baby.
278,4.646076560020447,4.2,A red and white plane flying on a sunny day.,Red and white plane flying through the air.
279,3.1157490611076355,0.8,A black and white photo of an old train station.,A black and white photo of a cat sitting on a sofa.
280,4.224826991558075,2.2,A bicycle in front of some ruins.,A pink bicycle is in front of a building.
281,4.756224155426025,3.8,Red double decker bus on side of street.,A red double decker bus on a crowded street.
282,4.375647008419037,3.2,A bus drives down a busy road.,A green bus drives down a road.
283,4.590588063001633,4.4,An elderly Asian couple pose with a yawning baby at a dinner table.,An older Asian couple poses with a newborn baby at the dinner table.
284,2.8412146493792534,0.0,Brown and white ducks walking on green grass.,A red and white plane flying on a sunny day.
285,3.32648903131485,1.4,People ride mopeds in an urban setting.,People riding horses in a fenced area.
286,4.010832756757736,2.6,Large silver locomotive engine in a shed.,The silver train is parked in a station.
287,2.8240209817886353,0.4,Two people sitting on a large motorcycle.,Two eagles sitting on a long branch.
288,2.6736343279480934,0.0,A scantily clad woman is standing next to a car.,A yellow and orange bird hold on to the side of a cage.
289,4.3770356476306915,3.2,Several televisions are on the floor and stacked up on top of one another.,"Three televisions, on on the floor, the other two on a box."
290,4.84624519944191,4.6,Sheep are grazing in a grassy field near a stand of trees.,Sheep are grazing in the field in front of a line of trees.
291,2.529372130520642,0.0,The small dog protects its owner.,The back of the stop sign is adorned with stickers.
292,2.983109913766384,0.6,Children looking a sheep.,Child milking a cow outside.
293,2.7789239771664143,1.2,A black-and-white photo of a loveseat.,A black and white photo of an old train station.
294,4.62484747171402,3.8,the back of a stop sign with many stickers on it.,The back of a sign with stickers on.
295,4.175126105546951,3.2,Living room or den with large screen television.,Living room with tan furniture and flat screen television.
296,3.4844595938920975,2.6,Two women sitting in lawn chairs.,Two women are sitting in a cafe.
297,4.796496331691742,5.0,A doubly decker red bus driving down the road.,A red double decker bus driving down a street.
298,2.637909995391965,0.0,The black bird is sitting on the ground.,The back of a pig under a tree with a cow in the background.
299,4.187946617603302,3.2,A Das Air Cargo plane sits on the runway.,A passenger plane parked on a runway.
300,4.336487799882889,4.0,A cat sleeps on purple sheet.,A black and white cat sleeps on a purple blanket.
301,2.708838041871786,1.2,A close-up of a cat on a cream sofa.,A close-up of a horse.
302,4.816790521144867,4.4,A kitchen with wood cabinets and dining table.,A kitchen with wooden cabinets and furniture.
303,4.239164292812347,3.4,A motorcycles is parked near a wall covered with a graffiti scene of a cityscape.,A motorcycle is parked by a mural of a city in the evening.
304,4.453974068164825,4.4,Two boys sit facing one another at a table and one points at the other.,Two people sit facing each other at a table as one points at the other.
305,3.730010688304901,0.8,Two white dogs are swimming in the water.,The birds are swimming in the water.
306,4.619205296039581,4.6,Large white cruise ship floating on water.,Large cruise ship floating on the water.
307,4.849548935890198,4.2,Two bald eagles perched on a branch.,Two eagles are perched on a branch.
308,2.534172465093434,0.0,A backpack standing beside a train.,A social gathering of people in a restaurant.
309,4.235720336437225,3.2,The bird is sitting on the branch.,A red and brown bird is perched on branches.
310,2.8871698677539825,0.0,A group of peoples posing in fur hats.,A group of cyclists in green and white with spectators looking on.
311,4.259766638278961,1.4,Black domestic cat lying on brown table.,A grey cat laying on a dining table.
312,3.6041633039712906,3.2,Four children looking at barn animals.,Children looking a sheep.
313,3.6834965646266937,1.8,A black and white cat playing with a wool basket.,A black and white cat lying on a blanket.
314,3.2996316254138947,1.8,Two men on boat floating on the water.,A wooden yacht on the ocean.
315,2.6242522802203894,0.0,A man doing a wheelie on a mountain bike.,A woman posing by a pillar with a U2 sign.
316,4.499398618936539,3.8,A woman equestrian riding a horse.,The woman is riding on the brown horse.
317,4.166809916496277,3.8,Train going down the tracks.,A black steam train traveling on the railroad tracks.
318,4.394198656082153,4.0,A white plane on the runway.,A white Swiss airplane approaches the runway.
319,2.732066735625267,0.0,The white ducks are standing on the ground.,A woman in a black hat is standing by the subway.
320,4.075352698564529,3.2,A group of people eat at a table outside.,A group of people sitting at a restaurant table.
321,4.329743981361389,1.6,Young baby girl sitting on table.,A woman with a smiling baby sitting on the table.
322,3.851834237575531,3.6,Two cats are close together inside and black and white furry enclosure.,"Two baby kittens are sitting inside a cow-schemed, fur-covered dome."
323,3.247666507959366,1.0,A group of people sitting on a small sofa next to a kitchen.,A group of people standing near a small child sitting on a horse.
324,4.579038619995117,3.6,A man jumping his dirt bike.,A man on a bike jumping through the air.
325,3.9000587165355682,2.0,A black and white photo of a bottle sitting atop a rock carving in front of a line of bushes.,A bottle of water sitting on a stone with other stones and a wall in the background.
326,4.8237210512161255,3.6,A black and white cat is sitting on a brown chair looking up.,Black and white cat sitting on wood chair looking up.
327,4.700856804847717,4.0,A black and white horned cow standing in a field.,A large black and white cow in a field.
328,4.016831666231155,3.6,"A long-haired man with a hat standing between two large, half-empty Coke bottles.",A man with a cap and jacket walking between two large bottles.
329,3.715505972504616,3.2,An AeroMexico jet taxing along a runway.,A silver AreoMexico Jet Liner sitting on the tarmac.
330,4.18546587228775,2.8,A red bird and four other birds sitting in the snow.,Five birds stand on the snow.
331,3.7240757048130035,2.4,An older Asian couple poses with a newborn baby at the dinner table.,A group of elderly people pose around a dining table.
332,4.567099958658218,3.6,Domestic cat looking out window.,A white cat looking out of a window.
333,2.830939069390297,1.8,Two cows graze in a field.,A brown horse in a green field.
334,2.8605103492736816,0.2,A person is standing underneath an overpass near a highway.,A person walks a dog along the water's edge.
335,4.257256239652634,3.4,A woman and child push strollers down the sidewalk.,A women and a young girl walking pushchairs along the sidewalk.
